doc_id,text,label
1,"Influenza cases increased in January in the northern region.",health
2,"The committee approved the budget after extensive debate.",policy
3,"A new catalyst improved yield in the oxidation reaction.",chem
4,"The patient reported fever and cough with mild fatigue.",health
5,"Market volatility rose following the central bank statement.",policy
6,"The polymer exhibits higher tensile strength after annealing.",chem
7,"Vaccination coverage reduces transmission in susceptible groups.",health
8,"Fiscal consolidation may reduce inflationary pressure.",policy
9,"Spectral analysis indicates a shift in absorption peaks.",chem
10,"Contact tracing improves outbreak control when delay is limited.",health
